a,8,a
b,17,a
c,8,9,18,7,6,s
d,6,7,a
e,6,a
f,1,3,5,7,15,16,17,18,a
g,10,11,12,13,14,15,16,17,18,a
h,17,5,4,s
i,4,a
j,4,5,17,s
k,17,a
l,10,a
m,10,17,18,a
n,16,17,a
o,2,a
p,4,6,a
q,9,a
r,11,a
s,1,a
t,13,a
u,0,a
v,17,11,a
w,6,7,18,a
x,17,7,a
y,10,a
z,11,16,a
